C1,id,text,polarization
19,eng_03a78ff33d4f1c401546225f97e7a889,12 Source CNN Source CNN Business Source CNN Business Source CNN Business Source CNN Business,0.0
28,eng_2ca265e5fb6608d566317413ebc3358e,47th District Republicans kicked out of Kent Cornucopia,0.0
40,eng_4e0a716ea0b0939693a374ac5513241c,"A TV News Reporter on IsraelHamas Fog of War, Truth",0.0
48,eng_19474c4acabb5fe06997b6253ed3644e,Abuse survivor recounts her struggles at YWCA,0.0
100,eng_e2b921310e7d1aca16d171ff4dc7de29,AOC and Kamala Harris dont really care.,2.0
121,eng_42184e940c07487a4cdb57779608f66e,"At Sunday Vigil, More Than 1000 Mourn Victims of Hamas",0.0
144,eng_0a45e4c6b3afbc224c83689d5f8a02a1,"Biden hits Russia with sanctions, shifts troops",0.0
223,eng_ef1472c70d04335840714c0bb933da1a,"CSG holds meeting, students speak on IsraelHamas warThe Michigan",0.0
250,eng_f0296bd997ff08908b60b986354b8acd,Democrats plan to nominate Biden by virtual,0.0
262,eng_02ad0e46da80ceef491bdcc95889b552,Did Donald Trump Steal His Act from Brother Theodore?The Village Voice,0.0
285,eng_07ca0f4bc4efa99b6809261b5080e095,Donald Trump faces many signs of potential political,0.0
293,eng_c0079fa236a97227f5712c5f27ffd01a,"Donald Trump Jr., Jim Banks recall Bob Knight, promote",0.0
294,eng_4ce0293626e913582e293e0e4b0c7b8c,"Donald Trump Jr., US Rep. Jim Banks push antiwoke",0.0
302,eng_02eed670f867d340b315aa604011fca7,Donald Trump speaks at Georgia GOP Convention,0.0
320,eng_0170ed44c04dc3c14460c03a18c2c3f8,Donald Trumps campaign rally in Maquoketa draws,0.0
337,eng_0ac5014b416ed21d728ef90a116bdf22,Early voting ends tomorrow. Elections have consequences. GoVoteNow,0.0
390,eng_03b57e2718c0b4c4a3c68737235d2dd3,Fontana student urges ceasefire in war between Israel and,0.0
406,eng_015514cda0c207cad1f8ac2815854b67,"Former VP Mike Pence praises VP Kamala Harris for certifying election, Trumps victory WWERaw oc CharlieHebdo",0.0
432,eng_0439511f3a9f53203ea1907a5ef80b11,GOP debate key moment for Megyn Kelly,0.0
433,eng_af2bd2c49a704abff255d2cbcd2347eb,GOP debate offered Tuscaloosa a chance,0.0
434,eng_ab88ad93f60eb2a8b5bfe2854b7801ce,GOP debate offered Tuscaloosa a chance to shineThe Tuscaloosa,0.0
521,eng_0a66001a5c61367ce476456ea0e5e009,"Hunter Biden defies GOP subpoena, blasts impeachment",0.0
603,eng_030d568746ae8cb1dedcd5750f785adf,"Iran, tormentor of US presidents, tests Joe BidenThe Christian Science Monitor",0.0
638,eng_10c4f72a4c5a55f3546ba83074d11c87,Israeli ExPats Plan to Protest Netanyahu at U.N.Atlanta Jewish,0.0
694,eng_010eb487de28315e699122609848e701,"Just small calculation on ukraine militaryaid The US has provided 174B worth of military aid in total, and has 330M population. Denmark has provided 7.2B of military aid, and has 5.9M population Finland has provided 2.3B military aid, and has 5,6M population. Denmark 1268 person",0.0
744,eng_019f61be6c41625a193ede4ca3ed729d,Los Altos council meeting serves as forum on IsraelHamas,0.0
759,eng_3e100a4d5c10bf226ded963d76946d5d,Mayor Chip Price Stresses Economic Growth for Siler City,0.0
762,eng_1d51ff09510c50bfdc5cc94b1d7a8faa,"Meagan Wolfe firing was symbolic, Wisconsin Republicans",0.0
768,eng_03bb8ee0e6ab32624d803516edacd90d,"Middle East crisis live one million Syrians expected to return in first half of 2025, says UN pUN refugee agency asks countries to refrain from forced returns as it says thousands of people ha The Guardian",0.0
772,eng_7953dfebfb9ad975507431cf422b5663,Mike Pence has some tough words for GOP,0.0
788,eng_53c0b9cc9d33ef3578f7a0048c34affb,More Republicans think Trump is religious than RomneyDeseret,0.0
843,eng_0231d6218ae3592adaf2eeba137d0884,NYU Law Student Facing Backlash Over IsraelHamas War,0.0
889,eng_960269d8c6191313056ac59587258217,Police: Driver Intentionally Crashed into Home,0.0
897,eng_fa72ef2085d02cc76571c31ff4422528,"President Joe Biden announced a major opinion Friday that the Equal Rights Amendment is ratified, enshrining its protections into the Constitution, a lastminute move that some believe could pave the way to bolstering reproductive and LGBTQ rights. ERA EqualRightsAmendment",0.0
965,eng_06fa6e73d9fd5dc0714ff78307a4cc3f,Schill issues new statement on IsraelHamas war,0.0
1024,eng_10aca86468082ea9dbe0b785c1598731,States trying to remove Donald Trump from the ballot,0.0
1029,eng_3885745e6aa811eda4f1ae11108266d8,STOP RUSSIAN AGGRESSION AGAINST UKRAINE. StopPutin StopRussia,0.0
1032,eng_0123db736719610f5d923c8deccb8f1b,Stratford Democrats hold edge in town council,0.0
1036,eng_036554dc3ffc1a56d0f398473b8053fd,"Students for Justice in Palestine, UC Divest Host Rally",0.0
1039,eng_4274cde1af892c8cbc26c27042d7657a,Studies Address Americans Views of Israeli GovtAtlanta Jewish,0.0
1040,eng_5961ad8dd4d7bf4231784dafca1882c4,"Stupids order to block all grants and loans unless Agencies had been directed to answer a series of yes or no questions on each federal program by Feb. 7. The questions included ""does this program promote gender ideology?"" and ""does this program promote or support in any way abortion?"" Holy shit",2.0
1083,eng_34114b52be099e24defc2498bfc69cc0,The Hamas attack reveals Israels vulnerability,0.0
1145,eng_3e0a611408e56ad364ad14a09b695cdc,Topeka Democrat hopes to oust GOP Rep. Jake LaTurner,0.0
1150,eng_00e995e3ad1b57b3cc90aa281ddcd6af,Trumps headlining 5 PA Republicans opening acts,0.0
1160,eng_f201b67b1ee2c8f0321c3a90e123cd17,Two Long Island House Republicans refer George Santos,0.0
1208,eng_01cd4aace264d760d004222e1c14b7c6,Vernon County Republicans implement new candidate,0.0
1218,eng_44aa9779a9dc12ee4855c072dbaca9eb,VP Kamala Harris to visit St. Cloud this weekSt. Cloud,0.0
1223,eng_04e3015ce239896030ea8934a2b77ffd,"Wait, wasnt he supposed to be running the new Iron Dome?",0.0
1305,eng_6a8ac0bc70d55c883e6f8aae5aa04f2e,Yes! This is what I want to see on MSNBC!!,0.0
1335,eng_0500385a7822f48140ee424e0e203207,37. Nationalism isnt inherently good.,0.0
1356,eng_00bbb423fd5668be1bcb260310df6319,BREAKING Montenegro and Angola reach agreement for 72minute ceasefire.,0.0
1385,eng_033283ad970f6ef6f384c082a1904a62,Decision is most concrete move yet by an index provider in wake of Ukraine invasion,0.0
1391,eng_6babc91ac4611dc4a63523971aa72069,Does Nigeria immigration issue visa?,0.0
1450,eng_eafb3cd03934546b84b89728828ee365,"IEBC LISTED 1,031,645 new voters in the second phase of the national voter registration exercise that ended on Feb 06.",2.0
1465,eng_11f909e92b59e93e340a95f4c5d0f977,Islamic Jihad fired rockets from the northern Gaza Strip. 4 Israelis injured by anxiety following rocket fire from Gaza.,0.0
1485,eng_40aee95df9ab2b87dce4ea379d2c0f34,Last day early voting in TEXAS,0.0
1509,eng_e19b6229c77c83b66f4bc3815b46cd0a,Novak Djokovic on Border Security is going to be the best episode ever!,0.0
1601,eng_73a138b3a5112415bc5594de75dd4662,US seeks Israeli approval to arm PA troops in fight against West Bank resistance,0.0
1620,eng_0074d4c4d848c3d3c91fb69d53820516,Who is most affected by gun control?,0.0
1668,eng_342360e14e6e59d327defad58c7e7edd,whats breitbart is it like brexit,0.0
1676,eng_01bd301adaac4183f149a178ef587944,indict unrest martial law no more electoral college !,2.0
1678,eng_00092d84d86aab0b71f5ad55952da7ed,"""Conservative values"" okay junior. Its an oxymoron, and hes just a moron.",2.0
1702,eng_01ca330c0cdcdfb61d0591c376443d16,All because of Democrat open borders. FJB,2.0
1728,eng_1d3f0932571147d5feabd5ca73d95daa,AntiSemitism is the UrConspiracy Theory of the Far Right.,2.0
1773,eng_dddf0ec81530a916059d688eb75231a5,Conservatives are rlly thirsting over a fossil who is older than Joe Biden over in Muskland,2.0
1809,eng_e68b430ae33d9b89c3a6c8796155517a,"Elon Musk Is a Deep State Agent, According to Elon Musk open.substack.compubthebulwa...",2.0
1872,eng_3fad6ff3bc1e061cc1f79c1898e6dd32,I am boycotting MSNBC until they stop talking about swelling between the anus and genitals.,2.0
1932,eng_165dded8053a3e2c4e37f0301c9fa4ca,Israel _____isisnt an inherently Jewish state and thats _____goodbad,2.0
1951,eng_0348ffa779cc08854b0a98e4a30a7c21,"Its the eternal narrative, because it dovetails so neatly with the fear, racism, and xenophobia theyre peddling.",2.0
1956,eng_052b43d2a30812271ebbfdae2d63c909,Joe Biden.. And Joe Biden alone Caused inflation....,2.0
1983,eng_c25985063d2ab6bd9dd1977180d19c70,Lying. Lots of election interference and you know it,2.0
1996,eng_031dd22664cf4901508102ca533fc481,MSMedia is the enemy of the PEOPLE!!!!!!,2.0
2019,eng_02b8b57a951dfacd89afb0dcd792646c,Nothing to see here... definitely not propaganda.,2.0
2026,eng_02a32c67fd6ec526fb2f61d2ea4443cc,"Ofc the Tinder Swindler is ""Israeli""",2.0
2027,eng_7592c8e2bad757d4e872d289c1f74ebf,Oh Fcck you CNN. Fcccckkkkk youuuuuu.,2.0
2063,eng_4b123249fbf444adf6311e365266a048,Putin is murderer Putin is murderer Putin is murderer Go to hell,2.0
2091,eng_e5cfa4cafa3bacc123dad1d2c7937aaa,Slava Ukraini. Trump is a traitor.,2.0
2093,eng_006a0d40459004ce36c8142e73f50bbd,So a coup attempt in DRC?,0.0
2115,eng_05db4a75dfb8ee375acf48208da16b5a,STOLEN ELECTION. TWO BUFFOON AND A SHIT SHOW,2.0
2120,eng_00900c208e8efd9d6831d3e40d910b7f,Texas Gov. Greg Abbotts Border Security Stunt Has Been A Total Shitshow.,2.0
2129,eng_015229c8af30bf04d508b4b1cbe7465b,Thats Red States for you blame others,2.0
2188,eng_04c73c7366e4fbf61758d5e62fa5a466,They are not asylum seekers they are criminals,2.0
2271,eng_0afd855984e5a56b057f1042c8cb63a4,"When foreign actors do it, it becomes a coup attempt",2.0
2294,eng_030d51161c8e5da3211e99156155b1a4,"Would you consider placing 50,000 partisan staff into the heart of a countrys civil service something like creating a ""deep state""?",2.0
2350,eng_58090bf54d52d10225c73e23d4d83627,AOCLovesElon because Pelosi loves to pay her winery staff low wages while threatening deportation,2.0
2352,eng_0a46862a8b43f5aed5d77b482f0b356b,And it stems from xenophobia too lmao,2.0
2400,eng_00758f5a8b22322bdf571481ec0efb75,Dems should file articles of impeachment every single day. We have to stop these criminals.,2.0
2415,eng_5d87f92ad1e604b97a6d4eae6647ecc1,Elon Musk is the Deep State,2.0
2416,eng_953175fbdf11ba464912586a5b9500da,Epic treason by all Republicans.,2.0
2422,eng_c9805096e981e1d1d24dc1c503f34781,FDT he is a traitor,2.0
2430,eng_01a6d616df9dc8ec4f63b15ac66511fb,Fuck Twitter Fuck YouTube Fuck Facebook Commie liberal agenda,2.0
2473,eng_17295bf28850b5527a04dc7f5c229a53,Illegal unregistered Foreign lobbyists oligarchs deserve sanctions !,2.0
2544,eng_40f07f3b588d1b7e251c18851da17f30,Resist Trump! Resist Maga hypocrites!,2.0
2546,eng_02f2eca6b1ab8a5813b0fe9032ab7080,Russian Imperialism Arab League Imperialism are different versions of the same sht,2.0
2561,eng_ca99e417ba56c186664ad50b13aee3bf,"TRUMP LIE 718 ""Not statistically possible. Rigged Election!"" TFG Trump",2.0
2653,eng_78530d6fa5f7b6d8b5f042b68e6f56b8,felon musk felon trump IDF supporters,2.0
2663,eng_010225ddefff41f00845872f80b1b97d,my ethnic cleansing is very socialist why do you ask,2.0
2705,eng_3e93a286942ca88e5b7bdbdffad79073,"At 10am today, voter registration challenge hearings will begin in . The hearings are open to the public",0.0
2736,eng_40863ccfdd2c929fab786cef0a1b6fca,Crazy woke agenda items like supporting red states.,2.0
2753,eng_d8d7d0662139da9e2395bd1402a21920,Donate to friends of the IDF!,0.0
2762,eng_befb796acdd6491b0997e98b8b41100f,Elon Musk is a Nazi who despises the idea of multiculturalism and religious pluralism,2.0
2774,eng_58ed59b0dc554581e2fe15c2ec251cce,FUCK DONALD TRUMP TO DEATH!!!,2.0
2829,eng_3f2c2a5f286dcd4045d4073ead3e1493,"IAF intercepts missile fired from Yemen, IDF commander injured in West Bank vehicle explosion",0.0
2884,eng_3e4076dab5c65efcb2334e4fe5938e20,Kamala Harris is just too dark to be President. And she dumb.,2.0
2888,eng_46ae9ed47c437d4300c5afa4850fb2e8,Kamala Harris to attend funeral of Buffalo mass shooting,0.0
2921,eng_053a5cb1a2bfbf17d66f25e2ce70cd57,Nationalism is just another word for Xenophobia. racism Xenophobia notoborders,2.0
2952,eng_02d29e28e6f6c08f6fb0fad14f9dc70f,Really useful app regardless of your immigration status. Please share.,0.0
2992,eng_1e725acd9144c09bed31b5adc1812b8c,"Thanks, Snowflake! Youre the best!",0.0
3023,eng_0063366f06e746ee0324476090c0b80d,"Theyre not interested in the rights given to 43,000 asylum seekers but with the removal of rights from 70 million citizens",2.0
3027,eng_4c065f6c4fc6367157b244c8859ac864,"This is genocide, Call it genocide CallItAGenocide StopTigrayGenocide StopTigrayFamine",2.0
3065,eng_0482b524770f85ab21325f73135b6a9c,When can we start calling mass deportations ethnic cleansing?,2.0
3071,eng_019eeba83eed7fcfb2b7db4a27d07233,Who gave the order to stop counting the votes in the swing states?,0.0
3092,eng_38c5bacee209722ee76b30bb37f435d1,Zionism is a cult. A coloniser cult The senior members of the government he apartheid state of Israel are majority European,2.0
3122,eng_03a225c63c458b99d017914bb6ddf57b,pornography is propaganda. repeat after me pornography is propaganda. now lets collab.,2.0
3158,eng_4591c2fae023689f7af495b9831fe075,"He is a Psycho. CANADAS CONSERVATIVE LEADER ISRAEL MUST STRIKE IRANS NUCLEAR FACILITIES Pierre Poilievre ""It would be a gift by the Jewish state to",2.0
3174,eng_02d0656ef6b57ea355e3c24659bf6b27,Jason Van Dyke is an enemy of the people.,2.0
3196,eng_0b285af2aba6a96a75817b644fde8f87,TWO INDEPENDENT STATES End Israeli Atrocities End Israeli Apartheid FREE PALESTINE NOW IsraeliWarCrimes,0.0
3200,eng_0074a079354a2fc30efad43bf0f3267d,The deep state that the right always talks about is made up of the white supremacists that are infiltrating the government.,2.0
3203,eng_0505a624744f5021620a10e57198050d,They did vote for her their votes were canceled by voter suppression laws. About million votes,2.0
3207,eng_5f1b44a1a1db92f6df32ddf8182390d8,Traitor raising anothe man hating traitor schyzo,2.0
